review_id,product_id,rating,content,extracted_aspects,extracted_features,extracted_sentiment,human_aspects_correct,human_aspects_missed,human_features_correct,human_sentiment_correct,human_error_type,human_notes
B00FHL9CME_A1U0O2SY44MN3Z_1470873600,B00FHL9CME,5,这条线缆用起来没问题，使用方法一目了然，毫无难度。价格实惠，而且能正常工作。,使用体验; 使用方法; 价格; 工作性能,易用性; 操作说明; 价格; 功能,positive,,,,,,
B00FHL9CME_A14XV6HDQ0PMV9_1395273600,B00FHL9CME,5,产品不错，但充电速度有点慢，可能是因为线太长了。不过还好我多带了一个充电器，线也很长，挺方便的。谢谢！,充电速度; 充电线长度; 携带充电器; 使用便利性,充电; 线材; 配件; 使用体验,positive,,,,,,
B00LA7IH7U_A5PZ432Q10SH3_1427241600,B00LA7IH7U,2,手机经常卡顿，而且没有附带SD卡。,运行流畅度; 配件,性能; 包装内容,negative,,,,,,
B00Z7T512Q_A1ZU6TO95FEDM7_1471910400,B00Z7T512Q,5,9个月前买了这款保护壳，用了一段时间后发现无法充电了。联系了Lifeproof客服，他们直接寄了一个新壳过来，没有任何繁琐流程。公司服务很棒！产品也很棒！！！,保护壳质量; 充电功能; 客服服务; 产品整体; 公司服务,保护壳; 充电; 客户服务; 产品; 公司,positive,,,,,,
B00Z7T512Q_A17VIC3R0C5CS5_1479686400,B00Z7T512Q,1,这款产品无法使用。我按照所有说明操作，但即使备用电池组已充满电且手机电量只剩1%，它也无法给手机充电。,产品功能; 充电性能,使用功能; 充电,negative,,,,,,
B00006L9LC_A3ENINL71K542C_1439510400,B00006L9LC,5,我很喜欢，干净清新的香味，对头皮无刺激。,香味; 对头皮的刺激性,气味; 温和性,positive,,,,,,
B00Q7S6UYO_AS9KW7XLSK78P_1441843200,B00Q7S6UYO,3,不知道是不是我太笨了，就是贴不好这种屏幕保护膜。每次贴都会产生明显气泡，总有一头粘不牢。第一个失败了，第二个也失败了，第三个我知道肯定也会失败，但还是继续用着。而且那个辅助贴膜的胶框只能用一次。虽然膜本身是清晰的，也能防刮花，但他们真的应该出一款傻瓜式贴膜，这个市场需求很大。花点研发精力，搞个能99%贴成功的新方案应该没那么难吧。,贴膜难度; 气泡问题; 粘性; 辅助胶框耐用性; 膜的清晰度和防刮性,安装便捷性; 显示效果; 粘合性能; 配件使用寿命; 保护性能,negative,,,,,,
B00DEQ7T9W_A14IEVIRUNDQ2R_1456358400,B00DEQ7T9W,5,我再也不会用别的手机膜了！我已经买了4片，给我们家所有手机都配上了。,手机膜质量; 购买意愿,保护膜; 产品复购,positive,,,,,,
B0012Y0ZG2_A3L1JSXB4OXOD9_1408579200,B0012Y0ZG2,5,我最爱的洗发水……离不开这款产品了……太喜欢了,产品喜爱度; 使用依赖性,整体产品; 使用体验,positive,,,,,,
B00Z7T512Q_AUEKBYK9IPEDX_1480550400,B00Z7T512Q,5,目前为止我用过的最好的手机壳……如果后续有问题我会追加评价，但就现在而言绝对A+,手机壳质量; 使用体验,保护性; 手感,positive,,,,,,
B00RZYW4RG_AMPSYLH47ZFU6_1467158400,B00RZYW4RG,5,我用了这款产品好多年了，只有它能在潮湿天气有效控制毛躁。,控制毛躁; 使用时长,防潮性能; 耐用性,positive,,,,,,
B00QZS0H2W_A1YG1WGUL2RLFO_1466467200,B00QZS0H2W,1,NOT full screen！！边缘仍然有白边，现在一周后已经开始翘边，在玻璃下产生气泡。导致这些区域触屏失灵，除非我用力按压。而且今天早上取下手机壳时，右下角还裂了。大家别浪费钱了！我要换回塑料膜了……,屏幕覆盖; 贴合度; 触屏灵敏度; 耐用性; 边框质量,全屏覆盖; 粘合技术; 触摸响应; 材料强度; 边缘设计,negative,,,,,,
B00JP79GU4_A1NQ17UBQTRCBT_1413849600,B00JP79GU4,5,比预想的好太多了，而且安装非常方便。,整体表现; 安装,性能; 易用性,positive,,,,,,
B00JDVBOAW_A3HF7UO82U0X5X_1412553600,B00JDVBOAW,5,防眩光屏幕非常实用。手机本身已贴有屏幕保护膜，但我还是购买了这套配件，因为保护膜用久了容易产生划痕，多备几张替换非常方便。,防眩光屏幕; 屏幕保护膜,显示; 配件,positive,,,,,,
B00F1DCLUI_A18MA20VWQ66C1_1405382400,B00F1DCLUI,5,非常不错的保护壳，物超所值,保护壳; 价值,保护性; 性价比,positive,,,,,,
B009K9IIHY_AIFWCOS6FFYCV_1445558400,B009K9IIHY,5,1美元？！？这个价格简直完美。使用正常，贴合度很好。还没摔过，但手感和我用过的其他手机壳一样结实。,价格; 使用体验; 贴合度; 手感; 结实程度,价格; 使用正常; 贴合度; 手感; 耐用性,positive,,,,,,
B010RQWSE2_A22SMAWPMZT199_1521936000,B010RQWSE2,2,我有一辆Subaru Legacy 2.5i 2013款，这个支架对我的车型来说太别扭了。根本找不到合适的位置放置，开车时支架一直晃动，全程都能听到震动的噪音，非常烦人。由于无法用任何方式固定支架，我只能暂时忍受，直到找到适合我这款车型的支架为止。*我的仪表台不是平的，因为配备了高级功能，所以有不同层次的高低设计*,支架适配性; 安装稳定性; 使用噪音,兼容性; 固定设计; 静音性能,negative,,,,,,
B00F1DCLUI_A3LRPW5KMO4VFB_1405987200,B00F1DCLUI,4,非常合身，比预想的还要好,合身程度,尺寸,positive,,,,,,
B00LA7IH7U_A3KJYPO9DCT0OK_1423785600,B00LA7IH7U,5,用起来挺适合我的，如果你和我一样不太常用手机的话。,使用体验; 适用人群,使用便利性; 目标用户,positive,,,,,,
B0013NB7DW_A914TQVHI872U_1425340800,B0013NB7DW,5,给我老公写的评价……这是他最喜欢的剃须前护理产品，7 ounce这个规格他觉得价格也是最低的。,剃须前护理效果; 规格; 价格,护肤; 容量; 价格,positive,,,,,,
B00Z7SIKFW_A2FVXYZ1QIEGC3_1485129600,B00Z7SIKFW,3,玻璃边缘触控灵敏度非常差！如果你能忍受触控不精准的问题，这款玻璃膜才适合你！这款钢化膜做工精良，属于高端产品。如果你用过一段时间S7 Edge，就会明白要找到一款各方面都出色的玻璃膜有多难。这款几乎完美，唯独触控灵敏度不行。手机本身没有任何设置可以弥补你失去的触控体验。省点时间吧，别买了！Otterbox很快就会下架这款产品，因为大家都会陆续退货。这个问题一直令人困扰，根本无法忽视。尽管这款产品在其他方面表现优异。,触控灵敏度; 做工质量; 产品耐用性; 使用体验; 品牌信誉,触控; 做工; 使用寿命; 用户体验; 品牌,negative,,,,,,
B001OHV1H4_A19AWUK1MWTJEN_1461369600,B001OHV1H4,5,泡沫丰富，香味怡人，清洁力超强！,泡沫; 香味; 清洁力,起泡; 气味; 清洁,positive,,,,,,
B00F1DCLUI_A16CRZBC24H1EY_1423180800,B00F1DCLUI,5,很棒，完美，价格低。,整体评价; 价格,综合; 价格,positive,,,,,,
B00SQL6LZI_A3JRA3PQTEO2KM_1441584000,B00SQL6LZI,5,Amazing screen protector !!!,屏幕保护膜,显示,positive,,,,,,
B00FHL9CME_A25XC9EVF03KCC_1407024000,B00FHL9CME,1,糟糕的选择，连一个月都没撑到，质量太差。,质量; 使用寿命,质量; 使用寿命,negative,,,,,,
B000URXP6E_A2KZH1QYHRJRB7_1397433600,B000URXP6E,5,这款沐浴露我之前用过一次，真的太棒了。很难买到，而且是The Body Shop最受欢迎的香型之一，通常只在特定季节发售！希望他们能推出更大瓶的规格，但能找到这款我已经很满足了。,使用体验; 购买难度; 香型受欢迎程度; 产品规格,使用效果; 可获得性; 香味; 包装规格,positive,,,,,,
B00W259T7G_ATECU14VUIOJ0_1504310400,B00W259T7G,4,这是一款略带复古气息的Lux香皂，仿佛50年代魅力女星在满浴缸泡泡中使用的那种。质地浓郁顺滑，涂抹在肌肤上感觉非常滋润。这款香皂不含杂质，也少了如今许多香皂中常见的化学添加成分。我皮肤非常敏感，而这种香皂正是医生会推荐的类型——使用起来非常愉悦，泡澡后完全没有泛红或干燥的情况。用起来真是一种享受，充满 glamour 气息。,复古气息; 质地; 滋润效果; 成分纯净度; 敏感肌适用性,外观; 质地; 保湿; 成分; 肤质适应性,positive,,,,,,
B00T3569BM_A33ENK1HUM1UKU_1455667200,B00T3569BM,5,安装非常简单，放好位置后一松手就自动真空吸附，完全没有气泡。之前用过skinonme，相比之下这款好太多了。到货准时，非常满意。强烈推荐，我自己和儿子的手机都贴了这款。,安装便捷性; 吸附效果; 气泡情况; 与竞品对比; 到货时间,安装; 真空吸附; 屏幕贴合; 产品性能; 物流,positive,,,,,,
B001LNODUS_ARARUVZ8RUF5T_1505260800,B001LNODUS,5,这是一款非常基础温和的沐浴露，凭借小巧的包装和极简的环保设计获得高分，薰衣草香味也格外宜人。我用过很多薰衣草产品，这款是目前为止最喜欢的。这次是免费获得的试用装，但我已经决定用完后一定要回购。找到了我的新宠！,包装; 环保设计; 香味; 产品整体体验; 回购意愿,外观; 环保; 气味; 使用感受; 购买意向,positive,,,,,,
B00LA7IH7U_A2NG17UXFVPC2I_1434585600,B00LA7IH7U,4,它虽然不是智能手机，但已经非常接近了。超爱它的续航能力！！！！,续航能力; 智能化程度,电池; 智能功能,positive,,,,,,
B007GNNH3Q_AOAKD6EPRNJER_1365984000,B007GNNH3Q,5,非常适合我的Prius V，因为其他手机支架找不到合适的位置，容易遮挡视线。这款支架非常稳固，外观优雅，短款设计刚刚好。顺便说一下，我用的是带OtterBox保护壳的iPhone 5，夹持效果非常好。我强烈推荐这款产品，而且我本人对配件很挑剔，所以请认真考虑我的评价哦 :),适配性; 稳固性; 外观设计; 夹持效果; 推荐程度,兼容性; 结构设计; 外观; 夹持功能; 整体评价,positive,,,,,,
B001LNODUS_A3091RP0SPZLMN_1505001600,B001LNODUS,4,这款带有淡淡的薰衣草香味，不会过于浓烈。说明建议将布艺香氛用于熨斗中，但我不喜欢熨烫，所以倒了一些到喷雾瓶里，轻轻喷在床单上。没有什么比薰衣草更让人放松的了。这瓶容量很大，能用很久。,香味; 使用方式; 放松效果; 容量,气味; 用途; 舒缓效果; 产品容量,positive,,,,,,
B00DEQ7T9W_A28C006A2WBSUT_1386201600,B00DEQ7T9W,2,尺寸错了。我本来需要的是另一款Galaxy手机的型号。不过客服服务很贴心，及时帮我更换了正确的尺寸，我对这次购物体验非常满意，给了五星好评。,尺寸; 客服服务; 购物体验,产品规格; 客户服务; 整体体验,positive,,,,,,
B004A9FI2M_A3J5E5ZDAFU1VY_1464220800,B004A9FI2M,5,这些是B-E-S-T触屏手套，因为手套的每一处都能在设备上操作！佩戴舒适，贴合手型。天气暖和时我容易弄丢，所以囤了好几副。无论是品质还是价格，它们真的都是最棒的选择。,触控功能; 佩戴舒适度; 品质; 价格; 易丢失,触控灵敏度; 舒适性; 质量; 性价比; 便携性,positive,,,,,,
B00FHL9CME_A36WQ9KNABVU32_1389225600,B00FHL9CME,5,我对客服的快速响应和解决方案感到惊喜。虽然希望产品能准时送达，但他们对问题的处理方式还是让我很满意。,客服响应; 解决方案; 配送时间,客户服务; 问题处理; 物流,positive,,,,,,
B00Z7T512Q_A1OL6UBKEJF2C7_1491696000,B00Z7T512Q,1,第一天就不行，进水了，手机受潮无法使用,手机质量; 防水性能,耐用性; 防水,negative,,,,,,
B007GNNH3Q_A2TZD8EQYZ7SFB_1468368000,B007GNNH3Q,4,我真的很想爱上这款产品，但用在我的车上就是不太合适。它有点笨重，会挡住我的换挡杆。在卡车上用起来会更好一些，因为那里的中控台更高。我打算再试试装在船上，看看会不会喜欢得多。,适用性; 尺寸设计; 安装位置,适配性; 产品体积; 安装兼容性,negative,,,,,,
B00LA7IH7U_A2C9XE9I8RSKNX_1412899200,B00LA7IH7U,5,非常满意。我基本待在家中，所以不需要功能复杂的手机——这款正好适合我在外出时应对紧急通话需求。每三个月只需20美元就能保持正常使用，简直太划算了 :),满意度; 使用场景; 通话功能; 价格,整体体验; 适用性; 通信; 性价比,positive,,,,,,
B00Z7SIKFW_A1SM0G50FP7XKJ_1500336000,B00Z7SIKFW,5,又摔碎了一块手机屏。之前用过屏幕保护膜防止进一步裂开，所以这次又尝试了。Otterbox 保护膜比我们用过的其他品牌感觉更结实，粘性很强，一旦贴上就牢牢固定。贴的时候一定要对准位置再按下去，否则很难调整。使用效果非常棒，触控灵敏度和没贴膜时一样流畅。装回手机壳也很轻松，整个过程简单省事。 normally 我不会给这种产品打5星，但当你帮我省下200美元换新手机的费用时，我必须开心地跳个舞庆祝！,屏幕保护膜质量; 粘性; 贴膜体验; 触控灵敏度; 整体使用效果,防护性能; 粘性强度; 易用性; 显示响应; 综合性能,positive,,,,,,
B00RZYW4RG_AMXYXIWW74J4_1468454400,B00RZYW4RG,5,爱这款产品！用直发器时效果超棒，而且香味很好闻！,使用效果; 香味,直发器性能; 气味,positive,,,,,,
